NEGERI,PPD,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY
PERAK,PPD MANJUNG,SMK,AEA1110,SEKOLAH MENENGAH KEBANGSAAN AHMAD BOESTAMAM,JLN HJ MOHD ALI,32000,SITIAWAN,056911552,056927724,AEA1110@moe.edu.my,Bandar,1097,108,TIADA,ADA,100.6928979,4.223651899
PERAK,PPD MANJUNG,SMK,AEA1111,SEKOLAH MENENGAH KEBANGSAAN PANGKALAN TLDM,PANGKALAN TLDM LUMUT,32100,LUMUT,056835848,056833601,AEA1111@moe.edu.my,Bandar,769,65,ADA,ADA,100.61687,4.2153
PERAK,PPD MANJUNG,SMK,AEA1112,SEKOLAH MENENGAH KEBANGSAAN BATU SEPULUH,LEKIR,32020,SITIAWAN,056798310,056798314,AEA1112@moe.edu.my,Luar Bandar,943,88,ADA,ADA,100.770362,4.126308314
PERAK,PPD MANJUNG,SMK,AEA1113,SEKOLAH MENENGAH KEBANGSAAN PANTAI REMIS,JALAN TAMAN BINTANG,34900,PANTAI REMIS,056775484,056779400,AEA1113@moe.edu.my,Bandar,758,76,ADA,ADA,100.640636,4.447700208
PERAK,PPD MANJUNG,SMK,AEA1114,SEKOLAH MENENGAH KEBANGSAAN SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,056882140,056882161,AEA1114@moe.edu.my,Bandar,1107,95,ADA,ADA,100.657707,4.207109
PERAK,PPD MANJUNG,SMK,AEA1115,SEKOLAH MENENGAH KEBANGSAAN CHANGKAT BERUAS,JALAN TAIPING,32700,BERUAS,056749655,056748240,AEA1115@moe.edu.my,Luar Bandar,299,41,ADA,ADA,100.7677988,4.506187693
PERAK,PPD MANJUNG,SMK,AEA1116,SEKOLAH MENENGAH KEBANGSAAN KG. DATO' SERI KAMARUDDIN,SERI MANJUNG,32040,SERI MANJUNG,056881332,056881394,AEA1116@moe.edu.my,Bandar,729,62,ADA,ADA,100.653659,4.184534
PERAK,PPD KINTA UTARA,SMK,AEA2041,SEKOLAH MENENGAH KEBANGSAAN RAJA CHULAN,JALAN DAIRY,31400,IPOH,055457082,055456289,AEA2041@moe.edu.my,Bandar,768,82,TIADA,ADA,101.1242931,4.589410183
PERAK,PPD KINTA UTARA,SMK,AEA2043,SEKOLAH MENENGAH KEBANGSAAN JALAN PASIR PUTEH,JALAN PASIR PUTEH,31650,IPOH,052530520,052557442,AEA2043@moe.edu.my,Bandar,828,73,ADA,ADA,101.081631,4.580331
PERAK,PPD KINTA UTARA,SMK,AEA2044,SEKOLAH MENENGAH KEBANGSAAN GUNUNG RAPAT,JLN TEOH KIM SWEE,31350,IPOH,053122855,053132067,AEA2044@moe.edu.my,Bandar,728,72,TIADA,ADA,101.133548,4.569944
PERAK,PPD KINTA UTARA,SMK,AEA2045,SEKOLAH MENENGAH KEBANGSAAN RAJA PERMAISURI BAINUN,"JALAN INTAN, KAMPUNG DATO' AHMAD SAID",30020,IPOH,055267522,055265334,AEA2045@moe.edu.my,Bandar,499,57,TIADA,ADA,101.076632,4.628071688
PERAK,PPD KINTA UTARA,SMK,AEA2046,SEKOLAH MENENGAH KEBANGSAAN DATO' HJ. MOHD TAIB,JALAN SEKOLAH,31200,CHEMOR,052011808,052014029,AEA2046@moe.edu.my,Bandar,1168,99,TIADA,ADA,101.1170467,4.725118827
PERAK,PPD KINTA UTARA,SMK,AEA2047,SEKOLAH MENENGAH KEBANGSAAN SERI KELEDANG,PERSIARAN KELEDANG TIMUR 2,31450,MENGLEMBU,052813240,052823433,AEA2047@moe.edu.my,Bandar,1553,109,TIADA,ADA,101.046766,4.574314
PERAK,PPD KINTA UTARA,SMK,AEA2048,SEKOLAH MENENGAH KEBANGSAAN KG. DATO' AHMAD SAID,LEBUH RAJAWALI,30020,IPOH,055270020,055282218,AEA2048@moe.edu.my,Bandar,654,66,ADA,ADA,101.0664023,4.62801312
PERAK,PPD KINTA UTARA,SMK,AEA2049,SEKOLAH MENENGAH KEBANGSAAN KG PASIR PUTEH,JALAN PENGKALAN BARAT 18,31650,IPOH,053225150,053221615,AEA2049@moe.edu.my,Bandar,1067,97,TIADA,ADA,101.07086,4.553336789
PERAK,PPD KINTA UTARA,SMK,AEA2050,SEKOLAH MENENGAH KEBANGSAAN SERI AMPANG,JALAN GUNUNG RAPAT,31350,IPOH,053130929,053115385,AEA2050@moe.edu.my,Bandar,1069,104,ADA,ADA,101.1256957,4.576064008
PERAK,PPD KINTA UTARA,SMK,AEA2051,SEKOLAH MENENGAH KEBANGSAAN JALAN TASEK,"JALAN SULTAN AZLAN SHAH (U), TAMAN TASEK INDRA",31400,IPOH,055497606,055450058,AEA2051@moe.edu.my,Bandar,1141,117,TIADA,ADA,101.117525,4.629966
PERAK,PPD KINTA UTARA,SMK,AEA2052,SEKOLAH MENENGAH KEBANGSAAN SIMPANG PULAI,TAMAN BANDAR PULAI JAYA,31300,KG. KEPAYANG,053575627,053576516,AEA2052@moe.edu.my,Bandar,1096,86,TIADA,ADA,101.119763,4.522009
PERAK,PPD KINTA UTARA,SMK,AEA2053,SEKOLAH MENENGAH KEBANGSAAN LAHAT,"PERSIARAN LAHAT BARU 6,  BANDAR LAHAT BARU",31500,LAHAT,053228995,053235041,AEA2053@moe.edu.my,Bandar,455,44,ADA,ADA,101.0426793,4.535411708
PERAK,PPD KINTA UTARA,SMK,AEA2054,SEKOLAH MENENGAH KEBANGSAAN TASEK DAMAI,JALAN TAWAS BARU UTARA,30010,IPOH,052917200,052921275,AEA2054@moe.edu.my,Bandar,1709,133,ADA,ADA,101.1042856,4.655972548
PERAK,PPD KINTA UTARA,SMK,AEA2055,SEKOLAH MENENGAH KEBANGSAAN TANJONG RAMBUTAN,JALAN CHEMOR,31250,TANJONG RAMBUTAN,055336770,055331722,AEA2055@moe.edu.my,Bandar,683,54,TIADA,ADA,101.159331,4.685427
PERAK,PPD KINTA UTARA,SMK,AEA2056,SEKOLAH MENENGAH KEBANGSAAN JELAPANG JAYA,JELAPANG,30020,IPOH,055282149,055282148,AEA2056@moe.edu.my,Bandar,764,77,ADA,ADA,101.0726165,4.63635812
PERAK,PPD KINTA UTARA,SMK,AEA2057,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN,TAMAN PINJI MEWAH,31500,LAHAT,053288201,053288202,AEA2057@moe.edu.my,Bandar,1044,78,ADA,ADA,101.084972,4.532381
PERAK,PPD KINTA UTARA,SMK,AEA2058,SEKOLAH MENENGAH KEBANGSAAN BERCHAM,HALA TASEK TIMUR 32,31400,IPOH,055461962,055462177,AEA2058@moe.edu.my,Bandar,840,76,TIADA,ADA,101.120065,4.641604
PERAK,PPD KINTA UTARA,SMK,AEA2059,SEKOLAH MENENGAH KEBANGSAAN PUSING,LEBUHRAYA EKSPRES IPOH LUMUT,31000,BATU GAJAH,052883955,052884801,AEA2059@moe.edu.my,Bandar,854,69,ADA,ADA,101.018963,4.480572
PERAK,PPD KINTA UTARA,SMK,AEA2060,SEKOLAH MENENGAH KEBANGSAAN BUNTONG,"PERSIARAN RISHAH (S) 1/1B, DESA RISHAH",30100,IPOH,052823242,052828242,AEA2060@moe.edu.my,Bandar,703,61,ADA,ADA,101.047674,4.586715
PERAK,PPD KINTA UTARA,SMK,AEA2061,SEKOLAH MENENGAH KEBANGSAAN WIRA JAYA,HALAMAN AMPANG MEWAH,31350,IPOH,053114339,053114270,AEA2061@moe.edu.my,Bandar,508,56,ADA,ADA,101.137493,4.58595
PERAK,PPD KINTA UTARA,SMK,AEA2062,SEKOLAH MENENGAH KEBANGSAAN JATI,TAMAN JATI,30020,IPOH,055265082,055265062,AEA2062@moe.edu.my,Bandar,959,74,TIADA,ADA,101.075061,4.657141
PERAK,PPD KINTA UTARA,SMK,AEA2063,SEKOLAH MENENGAH KEBANGSAAN PINJI,JALAN PERSIARAN BUNGA RAYA,31650,IPOH,053221523,053213609,AEA2063@moe.edu.my,Bandar,553,51,TIADA,ADA,101.080181,4.564599
PERAK,PPD KINTA UTARA,SMK,AEA2065,SEKOLAH MENENGAH KEBANGSAAN RAPAT SETIA,"JALAN TENAGA, RAPAT SETIA",31350,IPOH,053113385,053127284,AEA2065@moe.edu.my,Bandar,588,69,ADA,ADA,101.124578,4.566311
PERAK,PPD KINTA UTARA,SMK,AEA2066,SEKOLAH MENENGAH KEBANGSAAN TAMBUN,"JALAN TANJUNG RAMBUTAN, TAMBUN",31400,IPOH,055424841,055424842,AEA2066@moe.edu.my,Bandar,1122,97,ADA,ADA,101.142106,4.623032
PERAK,PPD KINTA UTARA,SMK,AEA2067,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU PUTRA,"PERSIARAN PUTRA 9, BANDAR BARU PUTRA",31400,IPOH,055336437,055336470,AEA2067@moe.edu.my,Bandar,798,65,TIADA,ADA,101.144995,4.664555
PERAK,PPD KINTA UTARA,SMK,AEA2302,SEKOLAH MENENGAH KEBANGSAAN ULU KINTA,JALAN PASUKAN POLIS HUTAN,31150,ULU KINTA,055331363,055330445,AEA2302@moe.edu.my,Bandar,1047,102,ADA,ADA,101.169941,4.655411
PERAK,PPD KRIAN,SMK,AEA3038,SEKOLAH MENENGAH KEBANGSAAN PANGLIMA BUKIT GANTANG,JALAN SEKOLAH,34200,PARIT BUNTAR,057161161,057175322,AEA3038@moe.edu.my,Bandar,1021,120,TIADA,ADA,100.4778253,5.127654992
PERAK,PPD KRIAN,SMK,AEA3039,SEKOLAH MENENGAH KEBANGSAAN SRI PERAK,JALAN ASUHAN,34200,PARIT BUNTAR,057161136,057176989,AEA3039@moe.edu.my,Bandar,1077,105,ADA,ADA,100.480632,5.126986229
PERAK,PPD KRIAN,SMK,AEA3040,SEKOLAH MENENGAH KEBANGSAAN ALANG ISKANDAR,JALAN KURAU,34300,BAGAN SERAI,057210346,057216970,AEA3040@moe.edu.my,Bandar,629,121,TIADA,ADA,100.5282843,5.014275005
PERAK,PPD KRIAN,SMK,AEA3041,SEKOLAH MENENGAH KEBANGSAAN ALOR PONGSU,ALOR PONGSU,34300,BAGAN SERAI,057216957,057217539,AEA3041@moe.edu.my,Luar Bandar,525,56,ADA,ADA,100.5964476,5.0710389
PERAK,PPD KRIAN,SMK,AEA3086,SEKOLAH MENENGAH KEBANGSAAN RAJA LOPE NOR RASHID,JALAN BAWAH,34250,TANJONG PIANDANG,057256269,057250268,AEA3086@moe.edu.my,Bandar,755,81,TIADA,ADA,100.3927773,5.07785813
PERAK,PPD KRIAN,SMK,AEA3087,SEKOLAH MENENGAH KEBANGSAAN KUALA KURAU,JALAN PANTAI KUALA KURAU,34350,KUALA KURAU,057277651,057279636,AEA3087@moe.edu.my,Luar Bandar,436,62,ADA,ADA,100.411096,5.018965
PERAK,PPD KRIAN,SMK,AEA3088,SEKOLAH MENENGAH KEBANGSAAN ABU BAKAR AL-BAQIR,SUNGAI GEDONG,34300,BAGAN SERAI,057217518,057218458,AEA3088@moe.edu.my,Bandar,856,95,TIADA,ADA,100.5957467,4.981346217
PERAK,PPD KRIAN,SMK,AEA3089,SEKOLAH MENENGAH KEBANGSAAN GUNUNG SEMANGGOL,TEBUK PANCHUR,34400,SIMPANG EMPAT SEMANGGOL,058921110,058921111,AEA3089@moe.edu.my,Bandar,638,65,ADA,ADA,100.651061,5.006830437
PERAK,PPD KRIAN,SMK,AEA3090,SEKOLAH MENENGAH KEBANGSAAN PEKAN BARU,"JALAN MERBOK, TAMAN PEKAN BARU",34200,PARIT BUNTAR,057164277,057165260,AEA3090@moe.edu.my,Bandar,358,54,ADA,ADA,100.492941,5.119745
PERAK,PPD KRIAN,SMK,AEA3091,SEKOLAH MENENGAH KEBANGSAAN SELINSING,SIMPANG EMPAT,34400,SEMANGGOL,058901971,058901769,AEA3091@moe.edu.my,Bandar,278,42,ADA,ADA,100.6510943,4.919323053
PERAK,PPD KUALA KANGSAR,SMK,AEA4082,SEKOLAH MENENGAH KEBANGSAAN BUKIT MERCHU,JALAN SULTAN ISKANDAR SHAH,33000,KUALA KANGSAR,057731140,057731144,AEA4082@moe.edu.my,Bandar,797,70,TIADA,ADA,100.9304224,4.760606567
PERAK,PPD KUALA KANGSAR,SMK,AEA4083,SEKOLAH MENENGAH KEBANGSAAN TEMENGGONG,KATI,33020,KUALA KANGSAR,057523210,057521946,AEA4083@moe.edu.my,Luar Bandar,410,55,ADA,ADA,100.9040349,4.882136464
PERAK,PPD KUALA KANGSAR,SMK,AEA4085,SEKOLAH MENENGAH KEBANGSAAN TOH MUDA ABDUL AZIZ SUNGAI SIPUT (U),JALAN SENTOSA,31100,SUNGAI SIPUT (U),055951370,055951371,AEA4085@moe.edu.my,Bandar,717,95,TIADA,ADA,101.0920687,4.813274084
PERAK,PPD KUALA KANGSAR,SMK,AEA4086,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BELURU,ENGGOR,33600,KUALA KANGSAR,057731131,057731132,AEA4086@moe.edu.my,Bandar,702,78,ADA,ADA,100.95478,4.829026
PERAK,PPD KUALA KANGSAR,SENI,AEA4087,SEKOLAH SENI MALAYSIA PERAK,SIMPANG JALONG,31100,SUNGAI SIPUT (U),055951350,055951351,AEA4087@moe.edu.my,Bandar,272,39,TIADA,ADA,101.0886102,4.825241441
PERAK,PPD KUALA KANGSAR,SMK,AEA4131,SEKOLAH MENENGAH KEBANGSAAN RLKT LASAH,FELDA LASAH,31120,SUNGAI SIPUT (U),055918182,055911037,AEA4131@moe.edu.my,Luar Bandar,337,47,ADA,ADA,101.0682852,4.923615308
PERAK,PPD KUALA KANGSAR,SMK,AEA4141,SEKOLAH MENENGAH KEBANGSAAN SAYONG,JALAN PARIT - SAYONG,33040,KUALA KANGSAR,057731121,057731120,AEA4141@moe.edu.my,Bandar,376,46,TIADA,ADA,100.9547193,4.774744474
PERAK,PPD KUALA KANGSAR,SMK,AEA4142,SEKOLAH MENENGAH KEBANGSAAN BAWONG,KAMPUNG BAWONG,31100,SUNGAI SIPUT (U),055911152,055911148,AEA4142@moe.edu.my,Luar Bandar,539,53,ADA,ADA,101.140037,4.994879
PERAK,PPD HILIR PERAK,SMK,AEA5072,SEKOLAH MENENGAH KEBANGSAAN SUNGAI MANIK,SUNGAI MANIK,36000,TELUK INTAN,056221825,056214410,aea5072@moe.edu.my,Bandar,319,39,TIADA,ADA,101.101267,4.075855
PERAK,PPD HILIR PERAK,SMK,AEA5073,SEKOLAH MENENGAH KEBANGSAAN SERI PERAK,JALAN CHANGKAT JONG,36000,TELUK INTAN,056221707,056227573,AEA5073@moe.edu.my,Bandar,661,84,TIADA,ADA,101.040473,4.008635
PERAK,PPD HILIR PERAK,SMK,AEA5074,SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDULLAH,BATU 11 1/2 JALAN CHENDERONG BALAI,36600,CHENDERONG BALAI,056511835,056511260,AEA5074@moe.edu.my,Bandar,975,102,ADA,ADA,101.1041,4.132462
PERAK,PPD HILIR PERAK,SMK,AEA5078,SEKOLAH MENENGAH KEBANGSAAN ABDUL RAHMAN TALIB,JALAN CHANGKAT JONG,36000,TELUK INTAN,056216070,056232826,AEA5078@moe.edu.my,Bandar,388,48,ADA,ADA,101.055859,3.989293
PERAK,PPD HILIR PERAK,SMK,AEA5079,SEKOLAH MENENGAH KEBANGSAAN SERI SETIA,JALAN PADANG TEMBAK,36000,TELUK INTAN,056225628,056236148,AEA5079@moe.edu.my,Bandar,204,28,TIADA,ADA,101.030432,3.992114
PERAK,PPD HILIR PERAK,SMK,AEA5080,SEKOLAH MENENGAH KEBANGSAAN SERI KANDI,JALAN PADANG TEMBAK,36000,TELUK INTAN,056221667,056237521,AEA5080@moe.edu.my,Bandar,358,50,ADA,ADA,101.042959,3.994562
PERAK,PPD HILIR PERAK,SMK,AEA5084,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG BAHAGIA,JALAN SUNGAI MANIK,36000,TELUK INTAN,056205582,056205587,AEA5084@moe.edu.my,Bandar,520,42,TIADA,ADA,101.048482,4.036141
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6048,SEKOLAH MENENGAH KEBANGSAAN DOKTOR BURHANUDDIN,"NO 58, JALAN RAJA SULONG, KG BOYAN",34000,TAIPING,058072213,058072842,AEA6048@moe.edu.my,Bandar,897,121,ADA,ADA,100.729431,4.84429
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6049,SEKOLAH MENENGAH KEBANGSAAN SUNGAI BAYOR,SIMPANG TIGA,34140,RANTAU PANJANG,058394580,058394580,AEA6049@moe.edu.my,Bandar,750,76,ADA,ADA,100.7558601,5.250940394
PERAK,PPD LARUT/MATANG/SELAMA,SBP,AEA6050,SEKOLAH MENENGAH SAINS RAJA TUN AZLAN SHAH,PETI SURAT 79,34000,TAIPING,058083020,058062576,AEA6050@moe.edu.my,Bandar,592,57,TIADA,ADA,100.7550455,4.854119548
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6051,SEKOLAH MENENGAH KEBANGSAAN SIMPANG,JALAN MATANG,34700,SIMPANG,058471144,058483615,AEA6051@moe.edu.my,Bandar,949,105,ADA,ADA,100.6994647,4.816651184
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6052,SEKOLAH MENENGAH KEBANGSAAN KAMUNTING,JLN KG EXPO,34600,KAMUNTING,058913723,058913741,AEA6052@moe.edu.my,Bandar,980,108,ADA,ADA,100.720172,4.901637
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6053,SEKOLAH MENENGAH KEBANGSAAN DATO' WAN AHMAD RASDI,JALAN TRONG,34850,CHANGKAT JERING,058552661,058554429,AEA6053@moe.edu.my,Luar Bandar,394,38,TIADA,ADA,100.7232095,4.75852598
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6054,SEKOLAH MENENGAH KEBANGSAAN JELAI,"JALAN BESAR, JELAI",34520,BATU KURAU,058881627,058881323,AEA6054@moe.edu.my,Bandar,471,55,ADA,ADA,100.8026416,5.016407249
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6055,SEKOLAH MENENGAH KEBANGSAAN TAMAN TASIK,JALAN NEPTUNE,34000,TAIPING,058085181,058053673,AEA6055@moe.edu.my,Bandar,468,54,TIADA,ADA,100.755265,4.851559
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6056,SEKOLAH MENENGAH KEBANGSAAN BUKIT JANA,JALAN BATU 4 1/2,34600,KAMUNTING,058839230,058837139,AEA6056@moe.edu.my,Bandar,982,91,ADA,ADA,100.7332663,4.905880501
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6057,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG JAMBU,JALAN CONVENT,34000,TAIPING,058075350,058075371,AEA6057@moe.edu.my,Bandar,691,56,TIADA,ADA,100.7347762,4.84386628
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6058,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN AUR,JALAN AIR KUNING CHANGKAT JERING,34850,TAIPING,058554009,058553752,AEA6058@moe.edu.my,Bandar,584,61,ADA,ADA,100.735297,4.802530205
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6059,SEKOLAH MENENGAH KEBANGSAAN TAMAN PANGLIMA,ASSAM KUMBANG,34000,TAIPING,058069786,TIADA,AEA6059@moe.edu.my,Bandar,404,45,TIADA,ADA,100.7206137,4.873000032
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6060,SEKOLAH MENENGAH KEBANGSAAN KUBU GAJAH,JALAN TAIPING,34130,SELAMA,058391913,058391913,AEA6060@moe.edu.my,Bandar,160,24,TIADA,ADA,100.683215,5.157881
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6061,SEKOLAH MENENGAH KEBANGSAAN MATANG,JALAN MATANG,34750,MATANG,058476877,058476355,AEA6061@moe.edu.my,Bandar,539,52,TIADA,ADA,100.6772948,4.811006016
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6062,SEKOLAH MENENGAH KEBANGSAAN KLIAN PAUH,JALAN LUMBA KUDA,34000,TAIPING,058073970,058060187,AEA6062@moe.edu.my,Bandar,504,49,TIADA,ADA,100.7510864,4.862468196
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6063,SEKOLAH MENENGAH KEBANGSAAN TOH JOHAN,TRONG,34800,TRONG,058577081,TIADA,AEA6063@moe.edu.my,Luar Bandar,238,33,ADA,ADA,100.716151,4.692345
PERAK,PPD LARUT/MATANG/SELAMA,MODEL KHAS,AEA6158,SEKOLAH MENENGAH KEBANGSAAN REDANG PANJANG,IJOK,34510,BATU KURAU,058801385,058801385,AEA6158@moe.edu.my,Luar Bandar,475,57,ADA,ADA,100.771,5.113209
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6159,SEKOLAH MENENGAH KEBANGSAAN KAMPONG PERAK,KG PERAK,34500,BATU KURAU,058880460,058880671,AEA6159@moe.edu.my,Luar Bandar,426,45,TIADA,ADA,100.811623,4.944836
PERAK,PPD LARUT/MATANG/SELAMA,SMK,AEA6160,SEKOLAH MENENGAH KEBANGSAAN KAMUNTING BAKTI,KAMUNTING,34600,KAMUNTING,058912353,058912597,AEA6160@moe.edu.my,Bandar,439,44,TIADA,ADA,100.695605,4.88223
PERAK,PPD HULU PERAK,SMK,AEA7001,SEKOLAH MENENGAH KEBANGSAAN TAN SRI ABDUL AZIZ,JLN. ALANG ISKANDAR,33400,LENGGONG,057691111,057691112,AEA7001@moe.edu.my,Luar Bandar,268,34,ADA,ADA,100.965808,5.100826
PERAK,PPD HULU PERAK,SMK,AEA7002,SEKOLAH MENENGAH KEBANGSAAN BERSIA (FELDA),FELDA BERSIA,33320,GERIK,057911526,057912452,AEA7002@moe.edu.my,Bandar,427,45,ADA,ADA,101.205562,5.474171
PERAK,PPD HULU PERAK,SMK,AEA7003,SEKOLAH MENENGAH KEBANGSAAN SULTAN AZLAN SHAH,KAMPUNG CHANGKAT BERANGAN,33400,LENGGONG,057691210,057691212,AEA7003@moe.edu.my,Luar Bandar,273,36,TIADA,ADA,100.948746,5.027322
PERAK,PPD HULU PERAK,SMK,AEA7004,SEKOLAH MENENGAH KEBANGSAAN DATO SERI WAN MOHAMED,KG PLANG,33310,GERIK,057915644,057913380,AEA7004@moe.edu.my,Luar Bandar,401,47,ADA,ADA,101.118409,5.553487
PERAK,PPD HULU PERAK,SMK,AEA7005,SEKOLAH MENENGAH KEBANGSAAN KENERING,KG LAWIN,33300,GERIK,057911821,057912391,AEA7005@moe.edu.my,Luar Bandar,356,35,ADA,ADA,101.056902,5.296051
PERAK,PPD HULU PERAK,SMK,AEA7006,SEKOLAH MENENGAH KEBANGSAAN GERIK,JALAN KUALA KENDERONG,33300,GERIK,057912300,057912400,AEA7006@moe.edu.my,Bandar,645,73,ADA,ADA,101.133616,5.424695
PERAK,PPD HULU PERAK,SMK,AEA7007,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN HULU,JALAN KOMPLEKS GURU,33100,PENGKALAN HULU,044770744,044778900,AEA7007@moe.edu.my,Bandar,547,59,ADA,ADA,101.005051,5.701653
PERAK,PPD HULU PERAK,SMK,AEA7008,SEKOLAH MENENGAH KEBANGSAAN BATU 4,JALAN KUALA RUI,33300,GERIK,057914201,057911676,AEA7008@moe.edu.my,Bandar,693,69,TIADA,ADA,101.146397,5.452591
PERAK,PPD HULU PERAK,SMK,AEA7009,SEKOLAH MENENGAH KEBANGSAAN SERI BUDIMAN,JALAN BUKIT NASAH,33300,GERIK,057918006,057917663,AEA7009@moe.edu.my,Luar Bandar,186,46,TIADA,ADA,101.056482,5.385325
PERAK,PPD PERAK TENGAH,SMK,AEA8001,SEKOLAH MENENGAH KEBANGSAAN SULTAN MUHAMMAD SHAH,JALAN PADANG BOLA,32800,PARIT,053778236,053778236,AEA8001@moe.edu.my,Luar Bandar,466,51,ADA,ADA,100.909171,4.472179
PERAK,PPD PERAK TENGAH,SMK,AEA8002,SEKOLAH MENENGAH KEBANGSAAN SULTAN MUZAFAR SHAH 1,LAMBOR KANAN,32600,BOTA,053761377,053762275,AEA8002@moe.edu.my,Luar Bandar,232,30,ADA,ADA,100.9049809,4.273778652
PERAK,PPD PERAK TENGAH,SMK,AEA8003,SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDUL JALIL SHAH,SEBERANG PERAK,36000,TELUK INTAN,056553954,056551942,AEA8003@moe.edu.my,Luar Bandar,648,83,TIADA,ADA,100.9511408,4.100570117
